Computer_Time, BaseRightFront,BaseRightBack, BackRightL1,BackRightL2,Top,BackRightL3,BackRightL4,BackLeftL4,BackLeftL3,BackLeftL2, Middle, BackLeftL1, BaseLeftBack, BaseLeftRight,Posture
16:37:48,498.00,15,16,363,16,234,16,16,16,16,16,398,579,63,11
16:37:50,496.00,15,16,299,17,198,16,17,15,16,17,392,595,85,11
16:37:53,486.00,16,17,334,32,249,16,16,16,16,16,369,596,107,11
16:37:55,467.00,16,16,375,29,267,16,16,15,15,17,365,601,129,11
16:37:57,460.00,17,16,371,46,252,15,16,16,16,17,371,599,126,11
16:37:59,464.00,16,17,392,43,251,15,16,16,16,15,392,609,137,11
16:38:14,257.00,16,16,245,16,17,16,15,15,164,17,257,531,1023,111
16:38:16,274.00,16,48,219,15,16,16,16,17,162,16,260,529,1019,111
16:38:18,271.00,16,56,184,16,16,15,16,16,164,16,255,544,1013,111
16:38:20,269.00,17,46,193,16,16,15,17,16,165,16,258,548,1021,111
16:38:23,285.00,16,49,207,16,16,16,16,16,160,16,270,542,1011,111
16:38:25,289.00,17,16,176,16,15,16,16,16,152,16,171,554,1023,111
16:38:27,373.00,16,17,181,15,42,16,16,106,158,16,133,525,1011,111
16:38:29,378.00,16,56,416,16,16,16,17,16,120,50,315,512,1021,111
16:38:31,390.00,16,24,287,15,18,17,17,16,128,16,242,551,1023,111
16:38:33,377.00,15,16,206,16,16,16,17,17,156,16,337,542,1009,111
16:38:35,373.00,16,16,279,17,61,17,16,56,157,17,225,546,1008,111
16:38:38,374.00,17,16,290,16,40,16,17,52,160,16,272,551,1016,111
16:38:55,349.00,175,18,17,16,134,265,91,181,17,17,16,221,465,1111
16:38:57,339.00,168,16,16,16,108,274,69,190,15,16,17,238,459,1111
16:38:59,353.00,200,15,274,17,183,16,16,150,152,15,16,403,491,1111
16:39:01,373.00,187,16,93,16,119,15,16,280,119,16,17,389,502,1111
16:39:03,338.00,191,15,58,16,107,16,15,312,167,17,16,408,512,1111
16:39:05,346.00,188,16,62,16,122,16,16,315,138,16,16,403,514,1111
16:39:08,344.00,203,16,121,16,214,57,120,196,94,16,16,343,519,1111
16:39:10,356.00,202,18,82,17,228,188,146,99,46,17,16,291,515,1111
16:39:12,434.00,68,16,16,27,109,347,297,159,16,16,16,257,507,1111
16:39:14,379.00,98,17,17,16,43,524,446,241,17,17,17,278,493,1111
16:39:16,389.00,102,17,17,16,73,543,448,220,16,17,16,292,498,1111
16:39:18,356.00,18,18,49,18,25,19,18,18,50,18,19,432,572,1111
16:39:20,417.00,161,16,17,18,16,16,17,17,18,16,16,205,586,1111
16:39:23,282.00,45,16,17,100,127,205,267,171,16,17,17,290,511,1111
16:39:25,263.00,16,17,16,59,93,65,269,244,98,18,16,271,433,1111
16:39:46,465.00,414,15,257,16,96,15,16,16,124,16,39,625,330,1
16:39:48,465.00,418,16,261,17,95,16,15,15,120,15,45,635,326,1
16:39:50,464.00,415,15,261,19,99,16,16,16,112,15,47,640,326,1
16:39:53,465.00,336,16,266,16,108,17,15,16,117,16,48,632,326,1
16:39:55,465.00,424,16,269,16,95,15,16,16,121,15,45,641,328,1
16:39:57,467.00,429,16,282,18,88,16,15,16,120,16,45,641,329,1
16:39:59,466.00,427,16,258,19,112,15,16,16,120,15,41,634,329,1
16:40:01,463.00,431,15,268,16,110,15,16,16,122,16,38,627,330,1
16:40:03,463.00,421,15,260,15,102,16,16,15,117,16,45,621,330,1
16:40:05,460.00,426,16,268,16,115,15,15,16,115,15,38,617,333,1
16:40:08,461.00,413,15,273,16,115,16,16,16,117,15,36,581,334,1
16:40:27,311.00,198,15,16,36,15,15,99,192,39,16,16,456,513,11
